Name,RA (1950),Dec m_zw,v_h,sig sour,Type,D1,D1,BT,UGC,FLWO#,Notes and Other Names
N 856,21100,-580014.4,5995,2812700,1A,1.2,0.9,,1713,T00762,
02111+0353,21108.8,3520814.3,3450,2912700,-6,0.9,0.7,,1716,T04156,"MK589,IIIZw43"
N 855,21112,27390013,594,1712700,-7,3.3,1.4,13.12,1718,S03579,*
N 863,21200.4,-595814,7891,1712700,1A,1.3,1.3,,1727,S00763,"Sy1,MK590"
N 864,21249.8,5461012,1559,810908,5X3T,4.8,3.5,11.55,1736,,
N 865,21318,28220014,3619,4512700,6,2,0.35,,1747,T03580,2997 (620)
N 871,21427.4,14190213.6,3740,1010613,5B s,1.1,0.35,14.1,1759,T10224,
N 875,21430,1000014.2,6381,2612700,0,1.5,1.5,,1760,T01964,KDG62A
N 877,21518,14190012.5,3931,2812700,4X1T,2.3,1.8,12.5,1768,T10223,
02157+0525,21542,5250014.2,9093,2412700,2P,1.9,1.8,,1775,T02109,"VV362,M1-6-62"
02186+1620,21836,16200014,4098,910611,4X D,2.7,1.3,,1814,T00861,KDG65A&B
I 221,21948,28020013.9,5090,510620,5A,2.2,1.2,,1835,,
02219-0223,22154,-2230014,1420,3512700,5A,2.3,1.8,,1862,T00898,
N 918,22303.7,18162014.3,1516,1010200,5X T,3.6,2.1,,1888,T17112,
N 926,22336,-330013.9,6383,3812700,4B T,2.5,1.3,,1901,T02081,
N 927,22354,11560014.5,8258,1910400,5B R,1.3,1.3,,1908,T15918,MK593
N 924,22400,20160013.8,4661,5612700,-2,2.3,1.3,,1912,T03532,
N 934,22500,-280014.4,6353,2212700,-2,1.8,1.6,,1926,T02080,
N 930,22506,20060013.7,4078,510620,1A,1.8,1.7,,1931,T03530,
N 936,22506,-1230011.3,1434,1512700,-1B T,5.6,4.5,11.1,1929,T10133,
N 935,22524,19220013.9,4142,510620,5A,1.9,1.2,,1937,T03528,"KDG68A,Arp276"
N 938,22542,20030013.8,4099,3412700,-7,1.6,1.2,,1947,T03531,
02257-0134,22542,-1340014.4,1762,4012700,8,2.4,0.9,,1945,T02168,
N 941,22554,-1230013.4,1627,1010200,5X6T,3.5,2.6,13,1954,T02594,
N 955,22800,-1200013,1458,2312700,2A,3.4,1,12.95,1986,T16784,
I 232,22836,1020014.2,6359,3012700,-2,1.7,1.2,,1994,T01963,
02296-0135,22936,-1350014.3,11279,2712700,3B,1,0.5,,2010,T02009,
I 235,23000,20250014.5,8737,3612700,5,0.4,0.3,15.3,2016,T03710,MK368
02301+0003,23006,30014.3,6162,2412700,0,1.6,0.8,,2018,T02102,
02301+0024,23006,240014.4,6206,3012700,6,0.55,0.45,,2019,T02050,
02304+0012,23024,120014.5,6714,3012700,2A,1.2,0.8,,2024,T02103,
N 975,23036,9230014.2,6111,2212700,0,1.3,0.9,,2030,T02000,
N 976,23112,20450012.9,4298,510620,5A3T,1.7,1.6,13.21,2042,T07749,
02315+0108,23130,1080014.4,6574,3012700,-2,1.6,1.5,,2051,T01965,
