Name,RA (1950),Dec m_zw,v_h,sig sour,Type,D1,D1,BT,UGC,FLWO#,Notes and Other Names
11343+2014,113417.7,20145013.9,6237,3112700,5B,0.7,0.35,,6583,T20006,MK181
N3757,113418,58420013.5,1267,2112700,-2,1.1,1.1,,6584,T04399,
11345+1551,113430,15510014.5,3950,410629,4X,2.2,1,,6586,,
N3768,113436,18070013.7,3301,2211109,-2,1.5,0.9,,6589,T13050,
N3767,113442,17090014.5,6362,2612700,-2B,0.9,0.8,,6590,T03292,
N3762,113442,62020013.3,3402,2112700,1,2.3,0.5,,6591,T00870,
11348+2602,113448,26020014.5,3283,3212700,-5,1.1,0.9,,6593,T01381,MK741
N3769,113506,48110012.7,1  724,1020614,3B R,3.3,1,,6595,T04517,"Arp280,KDG294A"
N3772,113512,22580014.4,3478,4412700,1B,1.2,0.6,,6598,T01421,
N3770,113512,59530013.5,3214,2712700,1B,1.1,0.7,,6600,T00253,
N3795B,113524,59020014,1323,2412700,-2,1,1,,6604,T00254,
N3773,113538,12232413.1,973,91 005,-2A,1.4,1.1,,6605,,MK743
N3795A,113636,58330014.2,1154,1010200,6A,3,2.4,,6616,,
N3780,113639,56325312.4,7 2416,31 2700,5A3s,3.1,2.5,,6615,T18300,
11367+1014,113642,10140014.5,6229,2812700,-1,0.9,0.3,,6617,T03271,
N3782,113642,46470013.3,0  740,1220200,6X s,1.4,0.7,,6618,T12682,
N3786,113704.9,32111113.5,2712,3112700,0X P,2.2,1.1,,6621,T00094,"Sy1,Turner39A,MK744,KDG2"
N3788,113706,32130013.2,2627,2312712,2  R,1.8,0.6,,6623,T00095,"Turner39B,KDG295B,Arp294"
11372+2012,113711.5,20123914.2,10964,2212700,5 1,0.8,0.7,,6625,,
N3790,113712,17590014.5,3434,2712700,0,1.1,0.25,,6624,T02732,
N3795,113724,58540014.1,1091,4112700,-1,2.3,0.6,,6629,T00255,
N3799,113736,15360014.4,3325,2812712,3B P,0.7,0.5,,6630,T04581,"VV350,Arp83,KDG296A"
N3800,113736,15370013.1,3299,710620,3X T,1.9,0.45,,6634,,"VV350,Arp83,KDG296B"
11376+1735,113736,17350014.3,3527,910629,-1,0.7,0.4,,6631,,
N3798,113736,24590013.9,3554,2312700,-2B,2.6,1.4,,6632,T12885,
I 719,113742,9170013.6,1850,2612700,-2,1.3,0.35,,6633,,AK308
N3801,113742,18000013.3,3254,7011109,-2  P,2.3,1.3,13,6635,T13049,
11378+2840,113748,28400114.5,1821,3512700,-3,0.9,0.4,,6637,T01180,MK9020
N3796,113748,60340013.4,1266,2812700,0,1.4,0.9,,6638,,
N3805,113805.7,20371413.8,6472,3511109,-3,1.4,1.1,,6642,,
N3808,113807.2,22421814.1,7032,3012712,5X T,2.5,0.8,,6643,T04582,"VV300,Arp87"
N3804,113812,56290012.7,2 1385,10 3700,6X s,2.5,1.7,,6640,,
N3810,113824,11450011.4,993,1510200,5A1T,4.1,2.8,11.25,6644,,
N3812,113830,25070013.9,3667,2512700,-7,1.7,1.6,,6648,T01405,
N3809,113830,60100013.6,3443,4412700,-2,1.3,1.2,,6649,T03378,
N3811,113836,47580013,3042,2812700,6B R,2.5,1.6,,6650,T16448,MK185
N3813,113842,36490012.8,8 1468,25 0200,3A T,2.1,1.2,12.3,6651,T14707,
N3815,113906,25050014.2,3725,2812700,2A,1.9,1,,6654,T01406,
N3816,113912.1,20225213.6,5548,4911109,-2,1.9,1.1,,6656,,
11392+1615,113915.1,16150314.5,786,3512700,-6,0.5,0.3,,6655,T11292,"MK747,AK311,HOLM275"
N3817,113918.4,10345314.4,6103,1912748,0B,1.1,0.8,14.11,6657,S09431,HCG58C
N3821,113933.1,20353813.8,5749,2612700,1B,1.5,1.3,,6663,T16002,
N3822,113936.3,10331813.7,6138,2012748,-2,1.3,0.7,13.89,6661,S09429,HCG58A
11397+0037,113938.5,364213.7,5504,3512700,10P,0.4,0.4,,6665,T13898,"AK312,MK1304"
11397+1618,113942,16180014.3,3086,910629,8P,1.1,0.4,,6666,T11291,
N3826,113948,26460014.4,9051,4112700,-3,0.9,0.7,,6671,T03516,
N3825,113948.8,10323013.8,6503,1712748,1B,1.4,1.1,13.66,6668,S09430,HCG58B
11398+1836,113953.7,18363514.3,923,3010625,10B,3.1,0.9,14.3,6670,,
N3827,114000.7,19072213.6,3132,510620,6,0.9,0.7,,6673,T20058,3268 20(11)
N3832,114055.3,23001014,6910,510620,5B,2.2,1.8,,6693,T00116,
I 724,114100,9130013.8,5928,2112700,1,2.5,1,,6695,T00134,
11412+2015,114113.6,20144514.3,6649,3612700,10,1.7,0.3,,6697,T03325,
N3843,114118,8120014.1,5908,2712700,0,1,0.4,,6699,T03092,
N3839,114120,11034313.6,5939,3312700,3,1,0.5,,6700,T00135,
N3837,114121.1,20102114.2,6280,251 002,-7,0.8,0.7,,6701,T03326,
N3835,114124,60240013,2450,4710300,3,2.3,0.7,,6703,,
N3842,114127,20133613.3,6237,1712700,-5,1.4,1,,6704,T02956,*
N3846A,114130,55180014.2,1396,3312700,9,2.1,1.8,,6706,T01660,VV320E
N3838,114130,58140012.7,1300,1412700,0A,1.4,0.5,,6707,,
11417+7001,114142,70010013.8,2702,1010613,8P,0.8,0.45,,6711,,AK317
N3853,114148,16500013.5,3350,1612700,-7,1.5,0.9,,6712,T00422,
N3860,114213.7,20042214.5,6354,3012700,2A,1.2,0.6,,6718,T03327,5000(6)
N3861,114228.4,20150214,5082,510620,3A,2.4,1.4,,6724,,
N3862,114229.6,19530214,6462,2412700,-5,1,1,13.65,6723,T03286,3C264
N3863,114230,8450014,4572,2912700,4,2.8,0.6,,6722,T02469,
11425+2044,114230,20440014.5,6878,2712700,-2,1.5,1.2,,6725,T01382,
11425+6159,114230,61590014.5,10617,3412700,5,0.9,0.25,,6727,T03421,
N3876,114248,9260013.4,2845,3512700,3,1.1,0.8,,6730,T14722,
11428+5915,114248,59150013.5,3090,1713300,-3  P,0.9,0.8,,6732,,V11Zw421
N3850,114254,56090014.4,1166,2510200,5B,2.2,1,,6733,,
N3873,114306,20030014.2,5438,3012712,-7,0.9,0.8,,6735,T03341,*
N3869,114312,11060013.5,3026,2512700,1,1.9,0.45,,6737,T00136,
N3872,114314.4,14024213.3,0 3210,22 2700,-5,2.3,1.7,12.65,6738,T02737,*
N3870,114318,50290013.2,750,1510200,-2  P,0.9,0.7,,6742,,MK186
N3877,114330,47460011.9,6  903,1020614,5A s,5.6,1.2,,6745,,
N3884,114336.8,20401014,6948,510620,1,1.9,1.4,,6746,,
N3879,114406,69400013.5,1431,1010613,5,2.5,0.45,,6752,T00250,
N3883,114412,20580014.2,7050,3712700,3A,3.1,2.8,,6754,T01407,
11445+1359,114430,13590014.4,3103,3312700,8,2,1.8,,6758,T03273,
N3886,114430.3,20065414.3,5767,3212700,-3,1.2,0.8,,6760,T03342,
N3835A,114436,60340013.9,3574,3112700,0,1.1,1.1,,6762,T00291,
N3888,114455,56145413,0 2377,24 2700,5X4T,1.7,1.4,,6765,T17636,MK188
11450+5755,114500,57550013.9,9253,3912700,5P,0.8,0.6,,6767,T00256,
11454+0446,114524,4460014.4,5981,3112717,1B,1.9,1.7,,6771,T03051,
N3891,114527.3,30381413.7,6202,3212700,5 1,2.3,1.8,,6772,T00118,6371 20 (626)
N3893,114600,49000011.1,0  977,8 0200,5X1T,4.6,2.5,11.1,6778,,KDG302A
N3894,114610.8,59414212.9,3257,2512712,-5,2,1.4,,6779,,*KDG303A
N3896,114618,48570014,906,3612700,0B P,1.8,1,,6781,T16450,KDG302B
N3897,114624,35180014.2,6398,2912700,5B t,2.1,2.1,,6784,T01305,
N3895,114624,59430014,3210,2612712,1B T,1.3,0.9,,6785,T00292,KDG303B
N3900,114636,27180012.6,3 1799,10 0100,1A R,3.2,1.6,12.2,6786,T14709,
N3898,114636,56220011.6,0 1113,2402700,2A3s,3.6,2.1,11.7,6787,,Liner
N3890,114636,74360014.1,6815,3112700,0,1,1,,6788,T03402,
N3902,114642,26240014,3622,3112700,3X s,1.7,1.3,,6790,T00029,
N3906,114702.6,48421114.1,962,510912,3A,1.7,1.7,,6797,T01555,
N3910,114724,21380014.4,7840,3012700,-3,1.6,1.2,,6800,T01422,
N3912,114728.5,26452713.2,1737,3112700,9B,1.8,1,,6801,T10704,
N3920,114730,25130014.1,3622,3112700,-6,1.3,1.2,,6803,T13976,AK327
11476+4220,114736,42200014.2,1033,2812700,-6,0.35,0.25,,6805,T01002,
11477+2615,114742,26150014.4,3757,4612700,2P,1.8,0.8,,6806,T00030,
N3914,114800,6510013.8,6141,2512700,3,1.1,0.6,,6809,T00137,
N3913,114800.6,55375314.2,953,110614,7A T,3,2.8,,6813,T01674,I 740
N3917,114806,52060012.4,8  975,10 0200,6A,5.1,1.1,,6815,T15664,
N3919,114806.7,20173514.5,6244,3912700,-7,0.9,0.9,,6810,T03343,
N3921,114828,55212013.4,5895,161 005,0A P,2.2,1.3,,6823,,"Liner,MK430,IZw28,VV31,A"
N3922,114836,50270013.8,2355,1110900,0,1.9,0.9,,6824,T15663,
11488+3543,114851.8,35423314.3,3084,2412700,-1,1.2,0.5,,6827,T00947,MK431
N3929,114906,21170014.5,7130,2912700,-2,0.5,0.35,,6832,T01423,
N3930,114912,38180013.5,919,2010200,7X6s,4.5,3.5,,6833,T20005,
N3928,114912,48580013.1,974,2912700,-5,1.5,1.5,,6834,T15662,MK190
N3933,114924,17050014.2,3676,2612712,1B,1.4,0.7,,6839,T04584,
N3935,114948,32410014,3067,2912700,1,1.2,0.7,,6843,T00119,
N3937,115006,20550014,6618,3112700,-3,1.8,1.6,,6851,T13979,
N3940,115006,21170014.3,6500,2512700,-7,1.3,1.2,,6852,T01424,
11502+0201,115012,2010014.4,6118,3512717,3A,1.1,1,,6854,T03082,"MK752,KDG307A"
N3938,115013,44240011,2  812,8 0200,5A1s,5.4,5.1,10.91,6856,,
N3941,115019.4,37155511.6,6  928,5 2605,-2X s,3.6,2.5,11.28,6857,T09608,
N3944,115030,26300014.3,3638,2612700,-3,1.4,1.1,,6859,T01425,
N3945,115036,60570011.9,1 1256,21 2700,-1B T,5.8,3.6,11.49,6860,T15579,
N3947,115048,21020014.2,6225,2312700,3B,1.4,1.4,,6863,T13980,
N3954,115106,21100014.4,6971,2812700,-5,0.9,0.8,,6866,T01384,
N3951,115106,23400014.5,6456,3112700,-1,1.2,0.6,,6867,T01446,
N3949,115106,48080011.6,6  786,10 0614,4A s,2.8,1.7,11.4,6869,T11307,
N3953,115112,52370011.1,1 1037,9 2700,4B1R,6.5,3.4,10.75,6870,,
I2973,115115.5,33383514.5,3212,810629,9B5s,1.5,0.8,,6872,T01306,
I 745,115142,250013.7,1135,3212717,-5,0.8,0.7,,6877,T09491,"AK332,MK1308"
N3958,115200,58390013.1,3322,2312700,1B s,1.4,0.55,,6880,T00868,3187 20(2204)
N3963,115224,58460012.5,2 3185,20 0613,4X2T,2.9,2.7,,6884,T15578,
11526+0627,115236,6270014.5,6973,2512717,3B s,1.3,0.9,,6886,,
N3968,115254,12150013.3,6388,510620,4X T,2.9,1.9,,6895,T00042,
N3971,115300,30160013.9,6795,3112700,-2A,1.4,1.2,,6899,T14029,
I 746,115300.7,26100414.5,5027,2010626,0,1.3,0.35,,6898,T01426,
1153+4319,115302.1,43193514.4,7108,2512700,3,1.4,0.7,,,,IR
11531+0132,115306,1320014.1,1894,1510200,5B,2.5,2.2,,6903,,
N3972,115312,55360013.7,6  831,10 0614,4A s,4.1,1,,6904,T00869,
N3976,115323.4,7014212.2,7 2496,8 0611,3X3s,3.6,1.1,,6906,,
N3978,115333,60475613.2,9978,3312700,4X,1.7,1.6,,6910,,IR
N3982,115353,55240012.4,5 1188,27 2700,3X R,2.4,2.2,,6918,T00194,Sy2
11539+5043,115355,50421814,909,1010614,9B,4.8,3,,6917,,SUP
N3985,115406,48370013.3,8  946,3522700,9B s,1.1,0.7,,6921,T15581,"AK334,KDG310B"
N3986,115409.6,32180014,3242,4812700,3,2.5,0.5,,6920,T00012,
11542+5327,115414.3,53262314.1,1065,510912,10,2.2,0.8,,6923,,
11543+3225,115418,32250014.5,3123,2712700,-1B,0.8,0.7,,6925,T01207,
11545+3040,115430,30400014.5,3369,3212700,-2A,0.9,0.7,,6927,T01181,
11547+4933,115442,49330014.2,776,1010614,5B,4.5,4.3,,6930,,
11547+5813,115442,58130014.5,1175,3712700,9,1.7,1.1,,6931,T04745,
N3987,115446.7,25282514.4,4500,810645,3,2.3,0.4,,6928,T01344,
N3991NE,115454,32360014.2,3111,34H2712,15  P,1.4,0.35,13.55,06933A,T04586,"VV249,Arp313NE"
N3994,115500,32330013.6,8 3118,27 2700,5A P,1.1,0.6,13.35,6936,T04588,"AK337,VV249"
N3992,115500,53390010.8,0 1051,10 0200,4B1T,8.3,4.6,10.6,6937,T15580,M109
N3990,115500,55440013.8,5  705,22 2712,-3,1.4,0.8,13.4,6938,T04519,
N3996,115512,14350014.4,6989,3012700,8,0.9,0.7,,6941,T03349,
N3995,115512,32340012.9,6 3307,31 2700,9A P,2.8,1,12.8,6944,T04589,
N3997,115514.2,25325614.3,4771,2010626,3B P,1.6,1.3,,6942,T01427,VV249
N3998,115520.9,55435511.7,9 1028,20 2712,-2A R,3,2.5,11.55,6946,,Liner
N4004,115531.1,28092814,3366,2010626,7P,2,0.5,,6950,,"MK432,VV230"
N4005,115536,25240214.1,4470,2010626,2,1.1,0.6,,6952,T01343,
N4008,115542.6,28281213.6,1 3680,2302700,-2A,2.4,1.3,12.9,6953,T09492,
N4013,115557.6,44134212.4,3  835,10 0200,3,5.1,1.1,,6963,,
N4014,115600,16270013.5,3775,2412700,0,1.9,1.1,,6961,T00423,
I 749,115600,43010013.4,809,2012712,5B5T,2.5,2.1,12.8,6962,S04866,KDG313A
N4010,115603,47322413.1,905,1010200,6B s,4,0.9,,6964,T18503,
N4015,115606,25190014.2,4341,3012700,-2,1.4,1.4,,6965,T01428,"Arp138,KDG314A&B"
N4017,115611.5,27435313.5,3432,3212724,5B2P,1.8,1.5,,6967,T09503,Arp305
I 750,115617.4,43000612.7,704,2212712,2,3.1,1.5,12.8,6973,,KDG313B
N4020,115621.4,30413013.2,766,3712700,6B5,2,1,,6971,,
N4022,115624,25300014.4,4390,2312700,-2,1.3,1.2,,6975,T01429,
11566+5259,115636,52590014.5,1068,1010614,6B,4.4,3.2,,6983,,
N4026,115651.1,51142512.1,3  944,20 2608,-2,4.5,1.1,11.7,6985,T09768,
N4029,115730,8280014.5,6144,2912700,3X,1.2,0.7,,6990,T03093,
N4032,115800,20210013,0 1268,620611,10 5,1.9,1.8,,6995,,
I 755,115836,14230013.9,1505,510620,3B,2.7,0.25,,7001,T00138,
N4037,115848,13410012.7,4  936,25 0200,3B7T,2.8,2.5,,7002,,
N4036,115854,62102711.5,1445,2512700,-3,3.7,1.8,11.4,7005,M05411,Liner
N4034,115854,69370014.5,2384,5112700,5A,1.8,1.3,,7006,T04746,
11592+6237,115912,62370014.5,1091,1712700,10,1.7,0.5,,7009,T25879,
11595+3007,115930,30070014.3,3086,3012712,6B4,2.1,1.1,,7012,,Turner50A
N4041,115942,62250011.9,3 1219,39 2700,4A3T,2.8,2.8,11.7,7014,,
N4043,115948,4370014.1,6462,2512717,3,0.6,0.5,,7015,T03053,
11598+3008,115948,30080014.4,3174,2212712,3B3,1.9,0.4,,7017,,Turner50B
12000+4120,120000,41200014.4,6131,91 0,4A T,2.1,1.7,,7020,,
12001+6439,120003,64391814.3,1447,281 0,-2,1.2,0.6,,,,MK195
N4045,120012,2160013,6 1942,20 2717,1X R,3,2,12.65,7021,L05268,
N4048,120018,18170014.4,4777,3012700,-2B P,0.55,0.45,,7023,T00933,VV384
N4047,120018,48550012.9,4 3421,31 2700,3A5T,1.2,1,,7025,T00357,
N4049,120024,19020014.2,839,2512700,10,0.9,0.7,,7027,T03356,
N4051,120036.4,44483511.2,3  710,15 0200,4X3T,6,5,10.95,7030,,Sy1
12009+1646,120054,16460014,4063,510620,-5  P,0.6,0.5,,7032,,AK345
N4058,120112,3500014,5800,2212717,1,1.3,0.7,,7036,T00139,
N4061,120128.1,20303814.4,7336,3212712,-5,1.2,0.9,,7044,T01447,VV179
N4068,120129.7,52520613.3,213,710200,10 9,3,1.8,,7047,T22112,
N4062,120130,32110011.9,769,1010200,5X3,4.8,2,12,7045,T07899,
N4065,120132.9,20304714,6374,3312712,-5,1.2,1.1,,7050,T01448,
N4067,120136,11080013.2,2403,2512700,3A s,1.2,0.9,,7048,T01098,
N4064,120136,18430012.6,0  919,30 2700,1B5P,4.2,1.8,12.2,7054,T15660,
N4066,120136,20380014.4,7386,3112700,-7,1.1,1,,7051,T01449,
N4070,120136,20420014.3,7222,2712700,-7,1.2,1.2,,7052,T01450,
I 758,120142,62470014.4,1275,1010200,5B,2,1.9,,7056,,
N4073,120153.4,2103012.9,8 5952,1202710,-3A,2.1,1.6,,7060,L05269,*MKW4
N4076,120159.3,20285914.3,6220,2010626,0,0.9,0.9,,7061,T01451,
N4081,120200,64430013.6,1457,3212700,1,1.8,0.8,,7062,T12860,
N4077,120206,2040014.5,7028,1912710,-3,1,0.7,,7063,L05291,
12021+3127,120210.2,31272014,7517,3012700,1B P,0.8,0.8,,7064,T10666,Sy2?
N4078,120212,10520013.9,2529,2812700,-2,1.3,0.4,,7066,T08482,
N4080,120218.5,27161514,621,3312700,6B4,1.3,0.55,,7068,T16184,
N4085,120250.4,50375413.1,1  750,10 0614,5X5s,2.7,0.8,12.91,7075,,
12028+1809,120251.1,18095314.1,4372,2010626,4B T,1.1,0.8,,7073,,
N4088,120303,50491211.3,9  752,10 0614,4X2T,5.9,2.2,11.1,7081,,Arp18
N4092,120318,20460014.4,6741,2912700,4,1.1,1.1,,7087,T01408,
N4098,120330,20530014.5,7330,3412700,9,1.1,1.1,,7091,T01410,
N4096,120330,47450011.3,1  559,10 0614,5X3T,7.2,1.7,11.02,7090,,
N4100,120336,49520011.7,1080,1010614,4A2T,5.6,1.9,,7095,,
N4102,120354,52590012.6,7  862,30 0200,3X s,3.2,1.9,12.3,7096,T02836,
12040+3930,120400,39300014.5,10982,3212700,4,1.6,1,,7098,,
N4104,120405.8,28271113.7,8220,3712700,-2X,2.6,1.5,,7099,T00121,IR
N4108,120418,67270013,2485,4011109,5A P,1.8,1.6,,7101,,
N4111,120430,43210011.4,806,2212700,-1A R,4.3,0.8,11.5,7103,,Liner
N4108B,120442,67300014.5,2575,3712700,5B,1.6,1.4,,7106,T03478,N4108 Group
N4116,120502.7,2581512.7,1 1309,1 0912,8B5T,3.8,2.5,12.4,7111,,
N4117,120512,43240014.3,958,2812707,-2,2.5,0.9,,7112,T01500,
12055+2531,120530,25310014.4,6767,3012700,-7,1,0.9,,7115,T01366,
N4125,120534.8,65271811.3,6 1340,24 2712,-5  P,6,5,10.7,7118,T02769,*
N4124,120536,10400012.6,8 1674,33 2700,-1A R,4.1,1.8,,7117,T00241,
N4123,120537.8,3092412,4 1327,1 0912,5B5R,5,4,11.85,7116,,MK1466
I3014,120600,39060014.4,6330,3012700,3A,1.1,0.9,,7119,T01501,
N4120,120600,69500014.1,2251,4112700,5,1.8,0.4,,7121,T03479,
N4127,120600,77050013.5,1813,1010909,4A,3.2,1.6,,7122,,
N4128,120606,69030012.9,5 2315,2022700,-2A,2.5,0.9,,7120,T02770,
N4131,120612,29350014.1,3731,2512700,-1B,1.5,0.8,,7126,T01015,
N4133,120612,75120013.1,1363,2612700,3X,2,1.6,,7127,T00059,
12064+4201,120624,42010014.3,927,2312700,2A,1.3,0.8,,7129,,
N4134,120636,29270013.8,3828,2612700,4A3,2.3,0.8,,7130,T02471,
12066+3151,120636,31510014.4,6755,3112700,-4,1.2,1.2,,7132,T01208,
N4136,120648,30120011.7,6  618,820200,4X4,4.2,4.2,,7134,T22186,
N4138,120658.8,43574812.8,0  835,28 2700,-1A R,2.9,1.7,12.3,7139,T13940,
N4142,120700,53240014.3,1141,2010614,5B7,2.2,1.1,,7140,T01641,
N4143,120706,42490012.4,0  966,24 2700,-2X s,2.9,1.8,12.1,7142,T14037,
12072+5648,120712,56480014.3,7864,3012700,3A,1,0.8,,7144,T03345,
N4141,120718,59070014.5,1980,5012700,5B,1.4,0.9,,7147,T03365,
N4144,120728,46440612.3,285,1912700,6X5s,6.9,1.7,,7151,T23690,
N4145,120730.5,40093312.2,1011,510912,7X3T,6.5,4.3,11.5,7154,T23910,KDG324A
12076+2535,120736,25350014.5,6019,2612700,5A,1.1,0.5,,7157,T01367,
N4146,120748,26420013.8,6542,2712700,1B P,1.7,1.6,,7163,T00122,
N4150,120800,30410012.8,3  226,22 2700,-3A,2.1,1.5,12.45,7165,,
N4149,120800,58350013.9,3056,2412700,7X3T,1.4,0.25,,7167,T01079,
N4151,120801.1,39410211.2,999,110912,2X T,7,6,11.13,7166,T02842,"Sy1,KDG324B"
N4152,120806,16190013.2,5 2161,10 0803,5X4T,2.2,1.9,12.5,7169,,MK759
N4159,120818,76250014.3,1761,3512700,8,1.5,0.6,,7174,T03480,
N4156,120818.2,39450314.2,8 6718,20 2706,3B T,1.4,1.3,13.85,7173,T00992,
12085+6412,120830,64120014,2670,3112700,6,1.9,0.3,,7179,T18886,
N4158,120836,20270013.1,3 2445,25 2700,3A R,1.7,1.6,,7182,T00437,
N4157,120836,50460011.9,735,2912700,3X3s,7.7,1.3,,7183,T23689,
N4161,120900,58000013.7,4941,2512700,4,1.2,0.8,,7191,T00159,
N4162,120918,24240012.6,2571,1210611,4A3T,2.5,1.3,12.25,7193,,
N4166,120936,18020014.3,6954,3212700,-2B,1.1,0.9,,7198,T03359,
N4163,120937.6,36265113.7,165,510912,10X9,2.1,2,,7199,,
N4169,120942,29270012.9,3784,1812748,-2A,1.8,0.9,13.15,7202,T00913,HCG61A
N4168,120944.4,13290012.7,7 2307,21 2700,-5,2.8,2.5,12.25,7203,T00141,
N4173,120948,29290013.7,1127,2010200,6P,5.1,0.8,13.36,7204,,"N4170,HCG61B"
N4172,120948,56270014.4,9274,2112700,1,1.4,1.3,,7205,T01698,
N4174,120954,29250014.3,3980,3012748,-2  P,0.8,0.3,14.42,7206,T00912,"HCG61D,MK761"
N4175,120959.1,29264814.2,3956,2010626,3P,2.1,0.4,14.14,7211,T01016,HCG61C
I 769,121000,12240014.1,2188,3312700,4A R,2.5,1.7,13.17,7209,T03240,
N4178,121013.8,11084812.1,0  381,15 0200,8B3T,5.5,1.7,11.89,7215,,
N4179,121018,1350012.2,1 1228,25 2700,-2,3.8,1,11.8,7214,T11314,
N4180,121030,7190013.2,2120,1310300,2,1.7,0.5,,7219,T15954,
N4185,121048,28470013.5,3904,510620,4B3R,2.9,2.2,,7225,T00911,
N4183,121048,43590012.5,1  934,10 0200,6A7s,5.5,0.6,,7222,,
N4187,121100,51020014.5,9187,2712700,-7,1.2,0.8,,7229,T01676,
N4190,121113.6,36544013.2,0  228,120912,10B7P,1.8,1.7,,7232,T12222,
N4189,121114.4,13421212.9,6 2053,31 2700,6X3T,2.7,2.2,12.51,7235,T15955,
N4192,121115.4,15103011,-98,1512700,2X2s,9.9,2.2,10.86,7231,,Liner
N4191,121118,7280013.9,2680,2912700,-2,1.2,0.9,,7233,T16155,
N4193,121118,13270013.4,2480,510620,5X3s,2.3,1.1,13.23,7234,T00140,
N4194,121142,54480013,2528,1510300,10B P,2.3,1.6,12.95,7241,,"VV261,MK201,Arp160"
N4196,121154,28420013.7,3975,2112700,-2  P,1.5,1.2,,7245,,
N4197,121200,6050013.8,2082,3812717,6,3.8,0.6,,7247,T01111,VV520
N4200,121212,12270014.1,2376,1912700,-2,1.5,0.8,,7251,T06952,
N4205,121230,64040013.8,1435,2511109,5,2.1,0.8,,7258,T18885,
12125+3614,121232.3,36141514.2,942,510912,10B8,1.6,1,13.9,7257,,
N4203,121236,33290011.8,0 1117,23 2700,-3X s,3.5,3.3,11.55,7256,T10366,
N4204,121242,20560014.3,861,810200,8B s,4.7,4.7,,7261,,
N4206,121244.4,13181213.8,701,2510200,4A6s,5.8,0.9,12.79,7260,,I3064
N4210,121254,66160013.4,2501,2511109,3B R,2.1,1.5,,7264,T12974,
N4207,121300,9520013.7,618,2912700,9,1.6,0.8,,7268,T00043,
N4211W,121304.2,28271814.5,6576,24H 0,-1  P,2,1,,07277A,,"VV199A,Arp106,NW"
N4212,121306,14110012,Aug-84,27 2700,4A5,2.9,1.9,11.87,7275,,2288(22)
N4213,121306,24150014.3,6704,2412700,-7,1.7,1.7,,7276,T01430,
N4214,121308.4,36363010.3,293,110912,10B5s,11,9,10.2,7278,T04747,
N4218,121317.6,48243013.2,725,2010613,1,8.5,1.7,,7283,,Haro28
N4215,121324,6410013,4 2067,24 2700,-1A5R,1.6,0.6,,7281,T00438,
N4216,121324,13250011.1,7  135,1000612,3X3s,8.5,1.7,10.91,7284,T03128,
N4217,121324,47220011.8,1 1032,10 0613,3 5,5.5,1.6,,7282,,
N4221,121336,66310013.6,1274,3012700,-1B R,1.9,1.3,,7288,T22232,2816 45(1109)
N4220,121342,48100012.5,6  954,10 0614,-1A4R,3.8,1.4,12.2,7290,,
N4224,121400,7440013.2,1 2651,36 0105,1A s,2,0.9,12.95,7292,T16134,
N4227,121400,33480013.8,6450,2612712,0B R,1.6,1,,7296,T04521,
N4226,121400,47170014.4,7238,2812700,3P,1.1,0.5,,7297,T01559,
N4229,121406,33500014.3,6813,2112712,-2X T,1.3,0.9,,7299,T04522,
N4231,121418,47430014.5,7418,2612712,4X,1.3,1.1,,7304,T04524,
N4236,121418,69450010.4,0   -7,4 0100,8B7s,23,8,9.95,07306 7,0.2,HO357A
I3094,121423.4,13541214.1,-169,3412700,11,0.6,0.5,15.44,7305,,VCC213
N4238,121430,63420014.2,2771,3712700,5A,1.8,0.45,,7308,T03422,
N4234,121436,3580013.6,5 2075,660 0,8B7s,1.2,1.1,13.5,7309,,"Haro7,HO358A"
N4233,121436,7540013.4,1 2371,26 2700,-1,2,0.9,13.08,7311,T16135,
N4235,121436.7,7280913.2,2255,2012700,1A,3.9,0.8,12.64,7310,,"Sy1,I3098,HO359A"
N4237,121442,15360012.7,8  915,16 2700,4X4T,2.2,1.4,12.5,7315,T00345,
N4239,121442,16480013.5,946,1712700,-7,1.6,1,,7316,T06532,*
N4241,121454,6580013.6,2235,2512700,0A s,2.5,1.5,13.05,7319,T04401,
12150+2250,121500,22500014.5,403,1010200,5A,5.5,0.3,,7321,,
N4244,121500,38050010.9,2  247,5 0200,6A7/1,8.5,2.3,10.5,7322,,
N4242,121500,45540011.9,6  516,10 0200,8X7s,5.7,3.8,11.6,7323,,
N4245,121506,29530012.5,7  815,39 2700,0B R,3.5,3.3,12.25,7328,T22110,
N4250,121506,71050013,2121,2312700,-1X R,2.5,1.9,,7329,T01090,VIIZw447
I3107,121518,11070014.5,7299,3212700,4,1.5,0.7,,7330,T03243,
N4246,121524,7280013.6,0 3724,10  0,5A s,2.4,1.2,13.43,7334,T16357,"I3113,HO359B"
N4248,121524,47410013.9,484,2510614,0,3.2,1.3,13.19,7335,T01132,HO363B
I3115,121526.4,6555314.4,733,101 002,5B,1.7,1.3,13.73,7333,,
N4251,121536,28270011.5,1067,2112700,0A R,3.6,2,11.6,7338,M04122,
12157+4427,121542,44270014.2,7380,3212700,5,1.5,0.7,,7340,T01528,MK203
N4253,121555.6,30052613.7,3876,1612724,-1B P,0.9,0.9,,7344,M01798,"Sy1,MK766"
N4254,121618,14420010.5,2 2470,1000612,5A1s,5,4.7,10.42,7345,T03137,M99
N4255,121624,5040013.5,1696,5011300,-2,1.2,0.6,,7348,T12653,
N4256,121624,66110012.7,2496,4012700,3A s,4.5,0.8,,7351,T22233,
